Training number: 1
Start Time: 2019-08-09 18:05:10.892908
Learning rate: 1e-05
Time: D: 0H: 0M: 5S: 15, Episode: 113, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 18, Episode: 114, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 21, Episode: 115, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 24, Episode: 116, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 26, Episode: 117, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 29, Episode: 118, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 32, Episode: 119, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 35, Episode: 120, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 38, Episode: 121, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 40, Episode: 122, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 43, Episode: 123, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 46, Episode: 124, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 49, Episode: 125, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 52, Episode: 126, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 55, Episode: 127, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 57, Episode: 128, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 0, Episode: 129, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 4, Episode: 130, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 6, Episode: 131, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 9, Episode: 132, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 12, Episode: 133, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 14, Episode: 134, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 18, Episode: 135, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 21, Episode: 136, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 24, Episode: 137, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 27, Episode: 138, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 30, Episode: 139, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 34, Episode: 140, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 37, Episode: 141, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 40, Episode: 142, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 43, Episode: 143, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 46, Episode: 144, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 49, Episode: 145, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 52, Episode: 146, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 55, Episode: 147, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 6S: 57, Episode: 148, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 0, Episode: 149, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 3, Episode: 150, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 6, Episode: 151, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 9, Episode: 152, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 11, Episode: 153, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 14, Episode: 154, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 17, Episode: 155, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 21, Episode: 156, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 24, Episode: 157, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 27, Episode: 158, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 30, Episode: 159, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 33, Episode: 160, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 36, Episode: 161, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 39, Episode: 162, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 42, Episode: 163, Total reward:-21.0, Explore P: 1.0, loss: 1000000
